Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments
MLL2	0	MSKCC-DMP	P-0003132-T01-IM5	MLL2-intragenic	yes	unknown		unknown	
KRAS	0	MSKCC-DMP	P-0015078-T01-IM6	KRAS-intragenic	yes	unknown		unknown	KRAS (NM_033360) rearrangement: chr12:g.25463932_c.267dup Note: The KRAS rearrangement is a duplication which includes exons 1-3. One of the breakpoints is within exon3. The functional significance is undetermined.
MCL1	0	MSKCC-DMP	P-0011192-T01-IM5	ENSA-MCL1 fusion	yes	unknown		unknown	MCL1 (NM_021960) - ENSA (NM_004436) rearrangement : c.-565:MCL1_c.57+728:ENSAdup Note: The MCL1-ENSA rearrangement event is a duplication which results in the fusion of MCL1 promoter region with ENSA exons 2-4.
ENSA	0	MSKCC-DMP	P-0011192-T01-IM5	ENSA-MCL1 fusion	yes	unknown		unknown	MCL1 (NM_021960) - ENSA (NM_004436) rearrangement : c.-565:MCL1_c.57+728:ENSAdup Note: The MCL1-ENSA rearrangement event is a duplication which results in the fusion of MCL1 promoter region with ENSA exons 2-4.
TERT	0	MSKCC-DMP	P-0011192-T01-IM5	SDHAP3-TERT fusion	yes	unknown		unknown	TERT (NM_198253) rearrangement: c.-338:TERT_chr5:g.1536135del Note: The TERT rearrangement events results in the deletion of TERT promoter region. One of the breakpoints is within the TERT promoter.
SDHAP3	0	MSKCC-DMP	P-0011192-T01-IM5	SDHAP3-TERT fusion	yes	unknown		unknown	TERT (NM_198253) rearrangement: c.-338:TERT_chr5:g.1536135del Note: The TERT rearrangement events results in the deletion of TERT promoter region. One of the breakpoints is within the TERT promoter.
EGFR	0	MSKCC-DMP	P-0004961-T02-IM5	EGFR-intragenic	yes	unknown		in frame	EGFR (NM_005228) Rearrangement :  c.2062-143_c.3115-117dup Note: The EGFR Rearrangement results in the tandem internal duplication of EGFR exons 18-25.
EGFR	0	MSKCC-DMP	P-0006768-T02-IM5	EGFR-intragenic	yes	unknown		unknown	EGFR (NM_005228) Rearrangement : c.89-37153_890-500inv Note: The EGFR Rearrangement results in the inversion of exons 2 to 8 of EGFR. Based on read counts the rearrangement could be subclonal. Its functional significance is undetermined.
NRG1	0	MSKCC-DMP	P-0011180-T01-IM5	CD74-NRG1 fusion	yes	unknown		unknown	CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement: t(5;8)(q32;p12)(chr5:g.149782758::chr8:g.32513214) Note: The CD74 - NRG1 rearrangement is a translocation that results in the fusion of CD74 exons 1-7 with  NRG1 exons 2-13. One of the breakpoints is within CD74 exon 7.|||The somatic gene fusion CD74 - NRG1 has been identified in invasive mucinous lung adenocarcinomas.  Additionally, this fusion has been shown to confer oncogenic properties in cell lines. . See references:|||1.) Oncogenic Fusion Gene CD74-NRG1 Confers Cancer Stem Cell-like Properties in Lung Cancer through a IGF2 Autocrine/Paracrine Circuit. Cancer Research 2016 Feb 15; 76(4): 974-83.|||2.) CD74?NRG1 Fusions in Lung Adenocarcinoma. Cancer Discovery 2014 April 1; 4: 415-22.
CD74	0	MSKCC-DMP	P-0011180-T01-IM5	CD74-NRG1 fusion	yes	unknown		unknown	CD74 (NM_001025159) - NRG1 (NM_013956) rearrangement: t(5;8)(q32;p12)(chr5:g.149782758::chr8:g.32513214) Note: The CD74 - NRG1 rearrangement is a translocation that results in the fusion of CD74 exons 1-7 with  NRG1 exons 2-13. One of the breakpoints is within CD74 exon 7.|||The somatic gene fusion CD74 - NRG1 has been identified in invasive mucinous lung adenocarcinomas.  Additionally, this fusion has been shown to confer oncogenic properties in cell lines. . See references:|||1.) Oncogenic Fusion Gene CD74-NRG1 Confers Cancer Stem Cell-like Properties in Lung Cancer through a IGF2 Autocrine/Paracrine Circuit. Cancer Research 2016 Feb 15; 76(4): 974-83.|||2.) CD74?NRG1 Fusions in Lung Adenocarcinoma. Cancer Discovery 2014 April 1; 4: 415-22.
MBD3	0	MSKCC-DMP	P-0012373-T01-IM5	TCF3-MBD3 fusion	yes	unknown		out of frame	TCF3 (NM_001136139) - MBD3 (NM_003926) rearrangement: c.1813+71:TCF3_c.110+3139:MBD3del Note: The TCF3 - MBD3 rearrangement is a deletion which results in the fusion of TCF3 exons 1-17 with MDB3 exons 2-6. The functional significance is undetermined.
TCF3	0	MSKCC-DMP	P-0012373-T01-IM5	TCF3-MBD3 fusion	yes	unknown		out of frame	TCF3 (NM_001136139) - MBD3 (NM_003926) rearrangement: c.1813+71:TCF3_c.110+3139:MBD3del Note: The TCF3 - MBD3 rearrangement is a deletion which results in the fusion of TCF3 exons 1-17 with MDB3 exons 2-6. The functional significance is undetermined.
TACC3	0	MSKCC-DMP	P-0012373-T01-IM5	FGFR3-TACC3 fusion	yes	unknown		in frame	FGFR3 (NM_000142) - TACC3 (NM_006342) fusion (FGFR3 exons 1-17 with TACC3 exons 10-16 ): c.2274+69:FGFR3_c.1837-70:TACC3dup Note: The FGFR3 - TACC3 fusion is predicted to be in frame and includes the kinase domain of FGFR3.
FGFR3	0	MSKCC-DMP	P-0012373-T01-IM5	FGFR3-TACC3 fusion	yes	unknown		in frame	FGFR3 (NM_000142) - TACC3 (NM_006342) fusion (FGFR3 exons 1-17 with TACC3 exons 10-16 ): c.2274+69:FGFR3_c.1837-70:TACC3dup Note: The FGFR3 - TACC3 fusion is predicted to be in frame and includes the kinase domain of FGFR3.
ROS1	0	MSKCC-DMP	P-0010760-T01-IM5	CD74-ROS1 fusion	yes	unknown		in frame	CD74 (NM_001025159) - ROS1 (NM_002944) fusion (CD74 exons 1-6 fused to ROS1 exons 34-43): t(5;6)(5q32;6q22.1)(chr5:g.149783763::chr6:g.117647234 ) Note: The CD74 - ROS1 fusion is predicted to be in frame and includes the kinase domain of ROS1.
CD74	0	MSKCC-DMP	P-0010760-T01-IM5	CD74-ROS1 fusion	yes	unknown		in frame	CD74 (NM_001025159) - ROS1 (NM_002944) fusion (CD74 exons 1-6 fused to ROS1 exons 34-43): t(5;6)(5q32;6q22.1)(chr5:g.149783763::chr6:g.117647234 ) Note: The CD74 - ROS1 fusion is predicted to be in frame and includes the kinase domain of ROS1.
PLCH2	0	MSKCC-DMP	P-0015531-T01-IM6	TNFRSF14-PLCH2 fusion	yes	unknown		unknown	TNFRSF14 (NM_003820) - PLCH2 (NM_014638)  rearrangement: c.2547:PLCH2_c.69+32:TNFRSF14dup Note: The TNFRSF14 - PLCH2 rearrangement is a duplication that results in the fusion of TNFRSF14 exon 1 with PLCH2 exons 19-22. One of the breakpoints is with PLCH2 exon 19. The functional significance is undetermined.
